query,query count,factor,iterations,timing
q1,100,5000,1000,0.8279
q1,100,5000,5000,3.7699
q1,100,5000,10000,7.8766
q1,100,5000,15000,11.3419
q1,100,5000,25000,18.0466
q1,100,5000,35000,25.8289
q1,100,5000,50000,37.7791
q1,100,5000,75000,55.5793
q1,100,5000,100000,73.7718
q2,100,5000,1000,0.769
q2,100,5000,5000,3.6142
q2,100,5000,10000,7.412
q2,100,5000,15000,11.5455
q2,100,5000,25000,18.1979
q2,100,5000,35000,30.0011
q2,100,5000,50000,40.6619
q2,100,5000,75000,59.6993
q2,100,5000,100000,79.1631
q3,100,5000,1000,0.8158
q3,100,5000,5000,4.156
q3,100,5000,10000,7.8998
q3,100,5000,15000,11.2054
q3,100,5000,25000,19.2454
q3,100,5000,35000,27.6117
q3,100,5000,50000,39.7121
q3,100,5000,75000,61.1665
q3,100,5000,100000,80.4479
q5,100,5000,1000,1.4437
q5,100,5000,5000,6.0378
q5,100,5000,10000,12.3294
q5,100,5000,15000,18.6513
q5,100,5000,25000,31.5604
q5,100,5000,35000,48.0818
q5,100,5000,50000,67.8654
q5,100,5000,75000,98.6261
q5,100,5000,100000,126.3188
