factor,query,iterations,query count,timing
5000,q1,10000,5,8.1129
5000,q1,10000,10,7.0895
5000,q1,10000,25,7.3929
5000,q1,10000,50,6.9656
5000,q1,10000,75,7.0597
5000,q1,10000,100,7.6643
5000,q1,10000,125,7.1004
5000,q1,10000,150,6.8984
5000,q1,10000,250,7.3063
5000,q1,10000,500,7.524
5000,q1,10000,1000,7.2986
5000,q1,10000,5000,7.4235
5000,q1,10000,10000,7.6654
5000,q2,10000,5,7.7425
5000,q2,10000,10,8.3325
5000,q2,10000,25,7.9489
5000,q2,10000,50,7.6222
5000,q2,10000,75,7.6206
5000,q2,10000,100,8.2173
5000,q2,10000,125,8.0799
5000,q2,10000,150,7.6703
5000,q2,10000,250,7.7965
5000,q2,10000,500,8.9534
5000,q2,10000,1000,7.7851
5000,q2,10000,5000,8.7577
5000,q2,10000,10000,8.0677
5000,q3,10000,5,7.441
5000,q3,10000,10,7.5633
5000,q3,10000,25,7.3902
5000,q3,10000,50,7.7318
5000,q3,10000,75,7.5361
5000,q3,10000,100,7.5774
5000,q3,10000,125,7.4167
5000,q3,10000,150,7.4002
5000,q3,10000,250,7.7688
5000,q3,10000,500,7.568
5000,q3,10000,1000,7.3568
5000,q3,10000,5000,6.8979
5000,q3,10000,10000,7.4574
