query,query count,factor,iterations,timing
q1,100,5000,5,2.6929
q1,100,5000,10,5.3689
q1,100,5000,15,7.9404
q1,100,5000,20,11.3362
q1,100,5000,25,14.5353
q1,100,5000,35,20.8874
q1,100,5000,50,27.0123
q1,100,5000,75,39.7639
q1,100,5000,100,55.0643
q1,100,5000,150,83.5847
q2,100,5000,5,0.8737
q2,100,5000,10,1.7846
q2,100,5000,15,2.6228
q2,100,5000,20,3.4899
q2,100,5000,25,4.7456
q2,100,5000,35,6.3161
q2,100,5000,50,9.106
q2,100,5000,75,13.9001
q2,100,5000,100,18.8289
q2,100,5000,150,27.4724
q3,100,5000,5,0.1991
q3,100,5000,10,0.2589
q3,100,5000,15,0.3932
q3,100,5000,20,0.5249
q3,100,5000,25,0.5946
q3,100,5000,35,0.9004
q3,100,5000,50,1.3078
q3,100,5000,75,1.8918
q3,100,5000,100,2.5129
q3,100,5000,150,4.1655
q5,100,5000,5,0.5821
q5,100,5000,10,0.5428
q5,100,5000,15,0.7036
q5,100,5000,20,0.8278
q5,100,5000,25,0.9837
q5,100,5000,35,1.3576
q5,100,5000,50,1.9112
q5,100,5000,75,2.8607
q5,100,5000,100,3.4148
q5,100,5000,150,5.8798
