factor,query,iterations,query count,timing
5000,q1,10,5,2.2516
5000,q1,10,10,1.5665
5000,q1,10,25,2.2306
5000,q1,10,50,3.3479
5000,q1,10,75,5.2147
5000,q1,10,100,5.7279
5000,q1,10,125,6.6685
5000,q1,10,150,8.4672
5000,q1,10,250,11.5036
5000,q1,10,500,21.6173
5000,q1,10,1000,41.1729
5000,q1,10,5000,195.5589
5000,q1,10,10000,391.6452
5000,q2,10,5,1.1994
5000,q2,10,10,0.6595
5000,q2,10,25,0.8636
5000,q2,10,50,1.2388
5000,q2,10,75,1.6075
5000,q2,10,100,1.9622
5000,q2,10,125,2.3572
5000,q2,10,150,2.7617
5000,q2,10,250,4.3192
5000,q2,10,500,7.2867
5000,q2,10,1000,7.7114
5000,q2,10,5000,7.703
5000,q2,10,10000,7.7558
5000,q3,100,5,2.4671
5000,q3,100,10,3.4506
5000,q3,100,25,4.4034
5000,q3,100,50,4.4747
5000,q3,100,75,4.357
5000,q3,100,100,4.2982
5000,q3,100,125,4.1424
5000,q3,100,150,4.0307
5000,q3,100,250,4.3029
5000,q3,100,500,4.0697
5000,q3,100,1000,3.962
5000,q3,100,5000,4.3278
5000,q3,100,10000,4.3712
